Organisation,Area,Borough,Services,Website,Clients,Day,Tel,Process,Email
Project 17,North,Islington (Holloway),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Tuesday,07963 509 044,07963 509 044 to book appointment,info@project17.org.uk
Project 17,North,Islington (Holloway),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Wednesday,07963 509 044,07963 509 044 to book appointment,info@project17.org.uk
Project 17,East,"Hackney (Stoke 
Newington)",Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Wednesday,07963 509 044,"Drop-in, 3rd Wed of the month",info@project17.org.uk
Project 17,North,Haringey,Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Monday,07963 509 044,"Drop-in , 1st Mon of the month",info@project17.org.uk
Red Cross,East,Hackney,General destitution,www.redcross.org.uk,Destitute R/AS,"Mon, Tues, Thurs",0207 704 5670,"Drop-in at Hackney Destitution R
esource Centre, E8 1NG (arrive at 10.30)",londonhdrc@redcross.org.uk
Jesuit Refugee Service,East,,"Homelessness/Poverty 
(for those not eligible for 
Asylum Support)",www.jrsuk.net/get-help/,,Mon-Fri,0207 488 7310,Call for appointment,uk@jrs.net
Croydon Refugee Day Centre,Croydon,Croydon,"Clothing, food, toiletries",www.croydonrefugeedaycentre.co.uk,,Tuesday,0208 689 4527,Drop in Tuesdays 10am-1pm,refugeedaycentre@westcroydon.com
West London Synagogue,West,,"Hot meal, Food vouchers,
clothing (for children & 
parents)",www.wls.org.uk,Destitute Asylum Seekers,Third Sunday of the month,0207 723 4404,Drop in Tuesdays 10am-1pm,dropin@wls.org.uk
The Welcome Project,East,Redbridge,"Food, Showers, Clothing",www.refugeecouncil.org.uk/services/3131_the_welcome_project,"Socially isolated people 
(including refugees)","Drop in Tues and Thurs 10-3, 
Families Tues-Thurs 10-12, 
Wed and Fri Homeless Drop-in, 
Males only after 12.30 on Tues and Thurs",0208 8220 4111,Drop in (can call in advance),
RAMP (Renewal Project),East,Newham,Food and clothing,http://www.renewalprogramme.org.uk/refugee-and-migrant-project.html,R/AS with no income,"Tuesdays (Drop-in), Appointments other days",020 8471 6954,Drop in (Tues) or appointmnet,info@renewalprogramme.org.uk
"Hope Worldwide (Two Step 
London)",East,Old Street,Homelessness Advice,http://hopeworldwide.org.uk/AboutUs.asp,,N/A,020 7713 7655,Call for appointment,rob.payne@hopeworldwide.org.uk
Hillingdon Foodbank,,,Food,,No/Low Income,,,Attend with FB voucher,hillingdonfoodbank@kingsborough.org.uk
Hackney Foodbank,East,Hackney,Food,,No/Low Income,,,Attend with FB voucher,info@hackney.foodbank.org.uk
The Welcome Project,East,Redbridge,Homelessness Support,http://www.rcmh.org.uk/index.php?nuc=organisations&func=view&id=9&item=214,Homeless,Tuesday to Friday 10-3,0208 514 3283.,Day centre - nurses,info@thewelcomecentre.org.uk
Refugee Council,East,Hackney,Destitution services,http://www.refugeecouncil.org.uk/how_can_we_help_you/i_need_destitution_support,Homeless AS/Refugees,Fridays,,Drop-in 11-4,kellie.higgins@refugeecouncil.org.uk
