Organisation,Area,Borough,Services,Website,Clients,Day,Telephone,Process,Email
CARIS,North,Haringey,ESOL Classes,http://www.carisharingey.org.uk/services/drop-in,All,,020 8800 5300,Drop-in,glorias@carisharingey.org.uk
Council of Asian People,North,Haringey,ESOL Classes,http://asiancentre.co.uk/esol/,All,Wednesday,020 8889 6938,Register for classes online,info@asiancentre.co.uk
"The Adult College 
Barking & Dagenham",East,Barking & Dagenham,ESOL Classes,http://adultcollege.lbbd.gov.uk/Courses/Pages/ESOL.aspx,"All (If Asylum Seekers, 
need to have lived in UK
 >6m & have ARC card)",,020 82704722,Register for classes on-site,adultcollegeenquiries@lbbd.gov.uk
AFRIL,South East,Lewisham,"Education 
advice",http://www.afril.org.uk/en/services/advice-service/,All,Tuesday,0208 297 4111,Call in advance (appt only),iolanda@afril.org.uk
AFRIL,South East,Lewisham,ESOL Classes,http://www.afril.org.uk/en/services/esol-classes/,Status,Monday am,0209 297 4111,"Complete app form &
email to AFRIL",iolanda@afril.org.uk
"Refugee Women's 
Association",East,Hackney,ESOL Classes,http://www.refugeewomen.org.uk/info/infom.htm,Status (Women only),All,020 7923 2412,Call for an appointment,info@refugeewoman.org
"Croydon Refugee 
Day Centre",South,Croydon,English Class,www.croydonrefugeedaycentre.co.uk,all,"Tuesday 10-1 
drop-in",0208 689 4527,Drop -in,refugeedaycentre@westcroydon.com
"West London 
Synagogue",West,,"ESOL classe 
for recognised 
refugees",www.wls.org.uk,Status,TBC,0207 723 4404,"Contact for dates 
nic.schlagman@wls.org.uk",nic.schlagman@wls.org.uk
"Merton Adult 
Education",South West,Wimbledon,ESOL Classes,http://www.maec.ac.uk/contact-us/,All,Check website,020 8274 5222,Call for details,Gwyn.Roberts@merton.gov.uk
Young Roots,South,Croydon College,"Peer Support 
Project",http://youngroots.org.uk/london/peer-support-project/,Students of the college,"Tues, Weds",020 8684 9140,Call Young Roots for info,info@youngroots.org.uk
Young Roots,North West,"College of North 
West London 
(Willesden)","Peer Support 
Project",http://youngroots.org.uk/london/peer-support-project/,Students of the college,"Thursdays, 2
-3pm",020 8684 9140,Call Young Roots for info,info@youngroots.org.uk
Tiko Foundation,UK,UK,"Funding of h/e 
tuition fees & 
accommodation 
expenses",http://www.tikofoundation.org/the-grant.php,Asylum seekers,,,,
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Education advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,"Mon, Wed, 
Thurs",020 8572 1082 (telephone advice line),"Drop-in (arrive 9.30am
 for 10am open) Brentford 
& Chiswick CAB.",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Education advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,"Tues, Thurs, Fri",020 8572 1082 (telephone advice line),"Drop-in (arrive 9.30am
 for 10am open) Feltham CAB",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Education advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,Wednesday am,020 8572 1082 (telephone advice line),"Drop-in (arrive at 9 for 
9.30 open) at Montague 
Hall, Hounslow, TW3 1LD",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Education advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,Thursday,2088922424,"Call for appointment 
(Bridgelink Centre, 
Summerwood Rd, Iselworth, 
TW7 7QU",
"Hounslow Citizens 
Advice Bureau",West,Hounslow,Education advice,http://www.hounslowcabs.org.uk/,Residents of Hounslow,Fridays,020 8572 1082 (telephone advice line),"Drop-in (arrive 9.30 for 10
 open) at Heston Fam 
Community Centre, TW5 0UP",
Refugee Council,North,Newham,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Refugees/AS,Monday am,,,
Refugee Council,North,Newham,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Refugees/AS,Thursday am,,,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Monday am,,,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Tuesday am,,,
