Organisation,Area,Borough,Services,Website,Clients,Day,Tel,Process,Email
Haringey Migrant Service,North,Haringey,Health advice/help accessing NHS,http://www.haringeymsc.org/index.php/about-us,All,Monday,,,
AFRIL,South East,Lewisham,Healthcare advice,http://www.afril.org.uk/en/services/advice-service/,All,Tuesday,0208 297 4111,Call in advance (appt only),iolanda@afril.org.uk
Barnet Refugee Service,North,Barnet,Health,http://www.b-r-s.org.uk/index.php?option=com_content&view=article&id=4&Itemid=3,All,Tuesday and Friday pm,0208 905 9002,Drop in (can call in advance),nosheen@b-r-s.org.uk
Barnet Refugee Service,North,Barnet,Health,http://www.b-r-s.org.uk/index.php?option=com_content&view=article&id=4&Itemid=3,All,Friday am,0208 905 9002,Drop in (can call in advance),nosheen@b-r-s.org.uk
The Welcome Project,East,Redbridge,"Nurse led clinic, Drug and alcohol advice",www.refugeecouncil.org.uk/services/3131_the_welcome_project,Socially isolated people,"Drop in Tues and Thurs 10-3, 
Families Tues-Thurs 10-12, 
Wed and Fri Homeless Drop-in,
 Males only after 12.30 on Tues &Thurs",0208 220 4111,Drop in (can call in advance),
AgeUk Hounslow,West,Hounslow,"Footcare service. Exercise classes. 
",http://www.ageuk.org.uk/hounslow/,Older people,Mon to Fri from 9:00-16:30,0300 012 0246,"Check timetable, call to  book",
Disability network Hounslow,West,Hounslow,"Advice and information Help with benefit
 form filling. Social activities",http://www.dnh.org.uk/,Disabled people,By appointment only,020 8577 0956,By appointment only,
The Welcome Project,East,Redbridge,Destitution Support,http://www.rcmh.org.uk/index.php?nuc=organisations&func=view&id=9&item=214,Homeless,Tuesday to Friday 10-3,0208 514 3283.,Day centre - nurses available,
Age UK Hounslow/MIND,West,Hounslow,"Mental Health Advice, Info, Support Groups",http://www.ageuk.org.uk/hounslow/activities-and-services/,65+ Hounslow Residents,Tues and Wed,020 8560 6969,Drop-in 9am-5pm,
999 Club,South East,Deptford,"Help Registering with a GP, accessing 
mental health services",http://999club.org/our-services/advice-and-support/,"Homeless/Hostel/
Risk of eviction",Mon - Fri,020 8694 5797,Drop-in 10.30am Mon- Fri,office@999club.org
RAMFEL,East,Essex/East London,Health care advice,http://www.ramfel.org.uk/wordpress/health-community-care/,All,All,020 8478 4513,Refer online:,appointment@ramfel.org.uk
Haringey Migrant Support Centre,North,Haringey,Health advice/help accessing NHS,http://haringeymsc.org.gridhosted.co.uk/visiting-us/,AS/Refugees,Mondays,,"Drop-in 1-3pm (call to check 
accepting new clients)",info@haringeymsc.org
Carers Trust,All,All,"Emotional/practical/financial support to 
carers",https://carers.org/,Carers,N/A,07773 047998,Contact specific borough's carers org,Moira Wilkinson <mwilkinson@carers.org>
ECIL - Ealing Centre for Independent Living,West,Ealing,Supporting disabled people and carers,http://www.ecil.org/contactus.asp,Disabled people and carers,N/A,020 8840 8717 / 020 8840 3682,Day centre,ecil@ecil.org
ESAS – Ealing Specialist Advice Service,West,Ealing,"Information and advice services of Ealing
 Centre for Independent Living",http://www.ecil.org/contactus.asp,Disabled people and carers,N/A,020 8579 8429,,info@ealingsas.org.uk
Cardinal Hume Centre,South,Westminster,Primary health care for homeless people,www.cardinalhumecentre.org.uk/need-help/surgery,Homeless,"Mon/Tue/Thu 9.15 -13, 14-16, 
Wed 9.15 - 13, 14 - 19, 
Fri 12.20 - 16.30",020 7222 8593 /020 7227 1673 (surgery),Drop in- GPs and nurses available,info@cardinalhumecentre.org.uk
Community Dental Outreach,All,All,"Dental care for homeless people/ adults 
with special needs/ drug problems/ 
complex medical histories",http://bartshealth.nhs.uk/our-services/services-a-z/c/community-dental-services/,Homeless/ Vulnerable Adults,Mon - Fri: 9am-5pm,020 7683 4433 (self-referral) / 020 8121 4289 (client referral),"Appointments available - contact 
relevant clinic (details on website)",
Community Health Inclusion Team,South,"Lambeth, Southwark and Lewisham","Nurse-led specialist clinics run at day 
centres, hostels and drug and alcohol 
services",http://www.guysandstthomas.nhs.uk/our-services/community-health-inclusion-team/overview.aspx,"Homeless/ Refugees/ 
Drug & Alcohol Users","Clinic specific - check website for 
details",020 3049 4700/4550/4555,Drop-in,
Great Chapel Street Medical Centre,Central,Westminster,"Walk-in medical centre with GPs, nurses, 
mental health nurses, counsellors. 
Psychiatrists and dentists available on 
appointment.",http://www.greatchapelst.org.uk/opening-times/,Homeless,"Mon/Tue/Thur 11-12.30, 14-16.30 
Wed/Fri 14 - 18",020 7437 9360,Drop-in centre,
Health E1,East,Tower Hamlets,"Offers a general health clinic, substance 
misuse clinic and mental health clinic",http://www.healthe1practice.nhs.uk/,"Homeless/ those in temp
accommodation","Mon-Fri (check website for 
specific walk-in/ appointment times)",020 7247 0090,"Drop-in GP/ nurse clinic Mon-Thu: 9 - 11,
 Fri: 14 - 15.30. Appointments can be made 
by phone, they're available Mon-Thu: 2-5. 
For mental health and substance abuse 
clinic opening times, check website.",
Kings Cross Primary Health Care Centre,Central,Islington,"Drop in medical service for homeless 
people",http://www.homelesslondon.org/details.asp?id=UK14467,"Homeless in Camden/
Islington",Fri: 14-16.30,"020 3317 6075/ 020 7530 5770
",Drop-in,
NHS 111,All,All,"Phone-line for urgent medical help and
 advice",www.nhsdirect.nhs.uk,All,24 hours a day,111,"Phone-line, interpretation service 
available in many languages. Simply 
mention the language you wish to use 
when the NHS 111 operator answers 
your call.",
Doctors of the World,East,"Tower Hamlets, Hackney","Drop-in GP clinic, with also offers i
nformation, support and advocacy to help
 people access health services",https://www.doctorsoftheworld.org.uk/pages/UK-Programme,"Undocumented migrants, 
asylum seekers, 
vulnerable adults","Mon-Fri (check website for 
specific walk-in/ appointment times)","020 7515 7534 (clinic advice line: Mon-Fri, 10-12noon)   020 7078 9629 (office number: Mon-Fri, 10-5pm)","Phone to arrange an appointment. 
Drop-in appointments also available: 
Bethnal Green drop-in 1-5 Mon, 
Wed & Fri (opens at 11am 
(first come, first served basis)",clinic@doctorsoftheworld.org.uk
HC2 Certificates,N/A,N/A,"Applications via HC1 forms for HC2 
certificate that allows clients 
free prescriptions, opticians and dental.",https://apps.nhsbsa.nhs.uk/LISWebAppStaticData/begin.do,"Asylum seekers & 
those on benefits",N/A,3001230849,"Call/go on website to order HC1 
forms/send clients to DoTW drop-in
 to complete form.",
Refugee and Migrant Network Sutton,South,Sutton,GP registration,http://www.rmns.org.uk/what-we-offer.html,All,"Drop-in centre every Wednesday 
from 10.00 to 12.00 at Trinity Church 
Hall Hill Road, Sutton, SM1 1DZ","Advice Worker Lucy: 020 8644 4374 or 07516 175662 to make an appointment or by e-mail:
advice@rmns.org.uk.",Drop-in or make an appointment,advice@rmns.org.uk.
Lewisham Refugee & Migrant Network,South,Lewisham,Health advice/help accessing NHS,http://www.advicelewisham.org.uk/lewisham-refugee-migrant-network/,People in Lewisham,,,,
