Organisation,Area,Borough,Services,Website,Clients,Days,Telephone,Process,Email
999 Club,South,Deptford,Housing advice,http://999club.org/our-services/advice-and-support/,"Homeless/Hostel/Risk of 
eviction",Mon - Fri,020 8694 5797,Drop-in 10.30am Mon- Fri,office@999club.org
Advice4Renters,North,Kilburn,Private Housing Advice,http://www.advice4renters.org.uk/,"Status (must be eligible 
for Legal Aid)",N/A,020 7624 4327,Call for an appointment,info@advice4renters.org.uk
Advice4Renters,West,Willesden,Private Housing Advice,http://www.advice4renters.org.uk/,"Status (must be eligible 
for Legal Aid)",N/A,020 7624 4327,Call for an appointment,info@advice4renters.org.uk
AFRIL,South East,Lewisham,Housing,http://www.afril.org.uk/en/services/advice-service/,All,Tuesday,0208 297 4111,Call in advance (appt only),iolanda@afril.org.uk
AgeUk Hounslow,West,Hounslow,Housing Advice,http://www.ageuk.org.uk/hounslow/,"65+ years old, Hounslow 
residents",Wednesday am,2085606969,"Drop-in (arrive at 9am for 9.30 open) at 
Montague Hall, TW3 1LD",
Ashford Place,North,Brent,Housing,http://www.ashfordplace.org.uk/,Residents of Brent,Mon - Thu 9.30am -5pm Fri: 10.30am - 5pm,020 8208 8590,"Appointment only. Call or email for 
an appointment.",info@ashfordplace.org.uk
Bakhita House,All,All,"Safe house and help 
accessing accommodation",http://rcdow.org.uk/caritas/human-trafficking/,Trafficking,,,email,e-mail: bakhitahouse@rcdow.org.uk
Barking & Dagenham Citizens Advice,North East,Barking and Dagenham,Housing advice ,http://www.bdcab.org.uk/contact-us/,All,Everyday,"020 8507 5977
",Drop-in everyday ,advicereferrals@bdcab.org.uk
Barnet Refugee Service,North,Barnet,Housing/NASS,http://www.b-r-s.org.uk/index.php?option=com_content&view=article&id=4&Itemid=3,All,Friday am,0208 905 9002,"Drop in/appointment 11-12.30 at 
Barnet College",nosheen@b-r-s.org.uk
Barnet Refugee Service,North,Barnet,Housing/NASS,http://www.b-r-s.org.uk/index.php?option=com_content&view=article&id=4&Itemid=3,All,Tuesday and Friday pm,0208 905 9002,"Drop in/apointments 1-3pm at 
Edgware Community Hospital",nosheen@b-r-s.org.uk
Carers Trust,All,All,"Emotional/practical/
financial support to carers",https://carers.org/,Carers,N/A,07773 047998,Contact specific borough's carers org,Moira Wilkinson <mwilkinson@carers.org>
Caritas Anchor House,East,Newham,Supported housing,http://www.caritasanchorhouse.org.uk/,Local connection to Newham,N/A,020 7476 6062,,
Children's Society,East,Newham,Housing and Support,http://www.childrenssociety.org.uk/what-we-do/helping-children/stand-by-me,As/Refugees 16-21,N/A,020 8221 8215/07720 940561,Email to refer,Christine.Bonney@childrenssociety.org.uk/kalyani.mccarthy@childrenssociety.org.uk
