Organisation,Area,Borough,Services,Website,Clients,Days,Tel,Process,Email
Haringey Law Centre,North,Haringey,Immigration,http://haringeylawcentre.org.uk/,Status,N/A,020 8808 5354,,tottenhamlawcentre@tiscali.co.uk
Haringey Migrant Service,North,Haringey,Immigration,http://www.haringeymsc.org/index.php/about-us,All,Monday,7544078332,,info@haringeymsc.org
AFRIL,South East,Lewisham,Immigration,http://www.afril.org.uk/en/services/advice-service/,Status,Thursday pm,0208 297 4111,,
Waterloo Legal Advice Service,South,Lambeth,Legal advice,www.waterlooactioncentre.co.uk,All,Thursday evening only ,0207 261 1404,"Drop in (6.30-8pm) - as long as the person has a number, they will be registered and the volunteers will endeavour to see them before 10.30pm, but cannot be guaranteed.",
"Notre Dame Refugee 
Centre Drop-In Café",Central,,Asylum and Immigration,www.notredamerc.org.uk,All,"Drop-in for meal Mon &Thurs: 11-4pm 
Tues & Wed: call for appt for advice",0207 440 2668,,
"Renewal Refugee and 
Migrant Project",East,Newham,Immigration and Nationality,http://www.renewalprogramme.org.uk/refugee-and-migrant-project.html,All,N/A,020 8471 6954,Call for appointment,cath.woodall@renewalprogramme.org.uk
Barnet Refugee Service,North,Barnet,"Immigration/Asylum/
Travel Docs/Citizenship",http://www.b-r-s.org.uk/index.php?option=com_content&view=article&id=4&Itemid=3,All,Friday am,0208 905 9002,Drop in/appointment 11-12.30 at Barnet College,nosheen@b-r-s.org.uk
Barnet Refugee Service,North,Barnet,"Immigration/Asylum/
Travel Docs/Citizenship",http://www.b-r-s.org.uk/index.php?option=com_content&view=article&id=4&Itemid=3,All,"Tuesday &
 Friday pm",0208 905 9002,Drop in/apointments 1-3pm at Edgware Community Hospital,nosheen@b-r-s.org.uk
ILPA,All,All,Immigration Advice Directory,http://www.ilpa.org.uk/search-directory.php,All,N/A,020 7251 8383,,
JCWI,All,All,Telephone Adviceline,www.jcwi.org.uk,"Undocumented 
migrants","Mon, Tues, 
Thurs",020 7553 7470,Call for confidential advice between 10-1,
Asylum Aid,All,All,Telephone Adviceline,www.asylumaid.org.uk,Refugees/AS,Tuesdays,020 7354 9264,Call between 1-4pm,
"Hackney Community Law
 Centre",All,All,Telephone Adviceline,www.hclc.org.uk,All migrants,Fridays,020 8985 8364,Call between 11am-1pm,
Migrant Children's Project,All,All,Telephone Adviceline,www.childrenslegalcentre.com,Migrant families,Mon- Fri,020 7636 8505,Call between 10am-6pm,
AIRE centre,All,All,Telephone Adviceline,www.airecentre.org,EU migrants,Mon- Fri,020 7831 4276,Call between 10am-6pm,info@airecentre.org
Rights of Women,All,All,"Telephone Adviceline 
(immigration, family)",http://rightsofwomen.org.uk/,Women,Mon-Thurs,"020 7490 7689 (immigration)
/020 7251 6577 (family)",Call for advice,
RAMFEL,East,"Essex/
East London",Immigration and Asylum,http://www.ramfel.org.uk/wordpress/asylum-immigration/,All,All,020 8478 4513,Refer online,appointment@ramfel.org.uk
"Afro-Asian Advisory 
Service",All,All,Telephone Adviceline,http://lambethandsouthwarkmind.org.uk/directory/afro-asian-advisory-service/,All migrants,Mon-Fri,0845 618 5385,Call for advice,
"Afro-Asian Advisory 
Service",South East,Southwark,Immigration Advice,http://lambethandsouthwarkmind.org.uk/directory/afro-asian-advisory-service/,All migrants,N/A,020 7701 0141,Call for appointment,
Cardinal Hume,Central,Westminster,Immigration Advice,https://www.cardinalhumecentre.org.uk/need-help/immigration-advice/,Without status,N/A,020 7227 1673,Call for advice/appointment,
Praxis,East,Tower Hamlets,Immigration Advice,http://www.praxis.org.uk/advice-&-information-page-37.html,All,Fridays,020 7729 7985,"Drop-in (arrive 9.30 for 10 open) at Pott street, E2 0EF",advice@praxis.org.uk
Praxis,East,Tower Hamlets,Immigration Advice,http://www.praxis.org.uk/advice-&-information-page-37.html,All,All,020 7729 7985,Email referral form saved on drive to advice@praxis.org.uk,Mel.Steel@praxis.org.uk
"Haringey Migrant Support 
Centre",North,Haringey,Immigration Advice,http://haringeymsc.org.gridhosted.co.uk/visiting-us/,AS/Refugees,Mondays,,Drop-in 1-3pm (call to check accepting new clients),info@haringeymsc.org
Latin American House,North,Kilburn,Immigration Advice,http://www.casalatina.org.uk/en/legal-and-social-advice/immigration-advice.html,Latin American Cls,Wednesdays,020 7372 5244,Drop-in (arrive before 4pm for 4pm open),immigration@casalatina.org.uk
Latin American House,North,Kilburn,Immigration Advice,http://www.casalatina.org.uk/en/legal-and-social-advice/immigration-advice.html,Latin American Cls,One Saturday p/m,020 7372 5244,Call for appointment,immigration@casalatina.org.uk
"Refugee and Migrant 
Network Sutton",South,Sutton,Immigration Advice,http://www.rmns.org.uk/what-we-offer.html,All,"Drop-in centre every Wednesday from
 10.00 to 12.00 at Trinity Church Hall 
Hill Road, Sutton, SM1 1DZ","Advice Worker Lucy: 
020 8644 4374 or 
07516 175662 
to make an appointment 
or by e-mail:
advice@rmns.org.uk.",Drop-in or make an appointment,advice@rmns.org.uk.
"Lewisham Refugee & 
Migrant Network",South,Lewisham,"OISC Level 3 
immigration advice",http://www.advicelewisham.org.uk/lewisham-refugee-migrant-network/,Lewisham residents,,,,
Breaking Barriers,Central and South,Farringdon/ Battersea,Employability workshops/placements,http://www.breaking-barriers.co.uk/,Refugees , drop in centre between 9am and 5pm every Thursday at John Morris House Community Centre SW11 1SW.,07908 801286,"phone or email stating name, contact telephone number and within 2 days an initial appointment will be made. or drop in centre","enquiries@breaking-barriers.co.uk, "
Kalayaan,West,Notting Hill,OISC Level 3 immigration advice,http://www.kalayaan.org.uk/about-us/what-we-do/,Migrant domestic workers,Monday-Thurs and Sunday,0207 243 2942,Call for appointment,info@kalayaan.org.uk
Toynbee Hall,Central,London,Legal advice,,All,Monday-Friday + 1st and 3rd Saturdays (Women only),,"Drop in/email between 10.00am-4.00pm for assessment - then will get appointment. Monday= Employment/Immigration, Wednesday= General, Thursday= Housing, Consumer Rights and Debt advice, Saturday= Womens General advice",advice@toynbeehall.org.uk
City Advice,City of London,London,Legal advice,http://www.toynbeehall.org.uk/about-city-advice,Residents/Workers of City of London,Mon-Fri 10am -5pm,020 7392 2919,Call for advice,
