Organisation,Area,Borough,Services,Website,Clients,Days,Telephone,Process,Email
The Bike Project,South,Dulwich,Free Bikes,http://thebikeproject.co.uk/contact-3/,All,Thursday 5pm,020 7733 8098,"Attend Drop-in 
(12 Crossthwaite
 Avenue, SE5 8ET)",
Young Roots,North,Brent,Youth Group,http://youngroots.org.uk/london/,AS/Refugees,Thursdays,7774314802,"Thursdays, 4-6pm",akram@youngroots.org.uk
Young Roots,North,Brent,Football,http://youngroots.org.uk/london/,AS/Refugees,Thursdays,7774314802,"Thursdays, 7-8pm",akram@youngroots.org.uk
Crisis Skylight,East,Tower Hamlets,Various Classes,http://www.crisis.org.uk/pages/crisis-skylight-london.html,All,All,,"Check classes 
timetable on website",
AgeUk Hounslow,West,Hounslow,"Various classes

",http://www.ageuk.org.uk/hounslow/activities-and-services/,"65+ years old, Hounslow Resident",Check timetable,020 8560 6969,"Check classes 
timetable on website",
"Disability network 
Hounslow",West,Hounslow,Social activities,http://www.dnh.org.uk/,Disabled people,By appointment only,020 8577 0956,By appointment only,
Age UK Hounslow,West,Hounslow,"Befriending 
service",http://www.ageuk.org.uk/hounslow/activities-and-services/,65+ Hounslow Residents,N/A,020 8560 6969,Call for information,
999 Club,South,Deptford,"Learning &
Activities 
Programme",http://999club.org/our-services/learning-activities/,Homeless/Hostel/Risk of eviction,Mon - Fri,020 8694 5797,"Drop-in 10.30am 
Mon- Fri",office@999club.org
"Haringey Migrant 
Support Centre",North,Haringey,"Socialising, 
lunch",http://haringeymsc.org.gridhosted.co.uk/visiting-us/,AS/Refugees,Mondays,7544078332,"Drop-in 1-3pm (call 
to check accepting 
new clients)",info@haringeymsc.org
New Horizon Youth Centre,Central,Camden,"Socialising, 
lunch",http://nhyouthcentre.org.uk/,Young people - 16-25,N/A,020 7388 5560,Contact for information,info@nhyouthcentre.org.uk
Asylum Seekers Drop-in,All,Barnet,"Food, social",http://www.nnls-masorti.org.uk/page.php?ID=83,Destitute Asylum Seekers,every Sunday from 2-5pm,e-mail: Dropin@nnls-masorti.org.uk,Drop in,Dropin@nnls-masorti.org.uk
