Organisation,Area,Borough,Services,Website,Clients,Days,Telephone,Process,Email
Project 17,North,Islington (Holloway),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Tuesday,07963 509 044,07963 509 044 to book appointment,info@project17.org.uk
Project 17,North,Islington (Holloway),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Wednesday,07963 509 044,07963 509 044 to book appointment,info@project17.org.uk
Project 17,East,Hackney (Stoke Newington),Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Wednesday,07963 509 044,"Drop-in, 3rd Wed of the month",info@project17.org.uk
Project 17,North,Haringey,Homelessness/Poverty,http://www.project17.org.uk/our-services/advice-and-advocacy/,NRPF,Monday,07963 509 044,"Drop-in , 1st Mon of the month",info@project17.org.uk
The Welcome Project,East,Redbridge,Families,www.refugeecouncil.org.uk/services/3131_the_welcome_project,All,"Drop in Tues and Thurs 10-3, Families Tues-Thurs 10-12, Wed and Fri Homeless Drop-in, Males only after 12.30 on Tues and Thurs",0208 8220 4111,Drop in (can call in advance),
Croydon Refugee Day Centre,Croydon,Croydon,Children's Play Area (and other services),www.croydonrefugeedaycentre.co.uk,AS/Refugees,Tuesday,0208 689 4527,Drop in Tuesdays 10am-1pm,refugeedaycentre@westcroydon.com
Young Roots,North,Brent,Youth Group,,AS/Refugees,Thursdays,7774314802,"Thursdays, 4-6pm",akram@youngroots.org.uk
Young Roots,North,Brent,Football,,AS/Refugees,Thursdays,7774314802,"Thursdays, 7-8pm",akram@youngroots.org.uk
Just for Kids Law,All,London,Advocacy/Legal (see flyer in folder),http://www.justforkidslaw.org/,Under 21 (all),N/A,0203 174 2279.,Call to make a referral,
Young Roots,South,Croydon College,Peer Support Project,http://youngroots.org.uk/london/peer-support-project/,Students of the college,"Tues, Weds",020 8684 9140,Call for info or email Despina or Sarah,despina@youngroots.org.uk/sarah@youngroots.org.uk
Young Roots,North West,College of North West London (Willesden),Peer Support Project,http://youngroots.org.uk/london/peer-support-project/,Students of the college,"Thursdays, 2-3pm",020 8684 9140,Call Young Roots for info,info@youngroots.org.uk
Hounslow Domestic violence ONE STOP SHOP,West,Hounslow,"Child care matters, FGM",http://www.younghounslow.info/kb5/hounslow/fsd/service.page?id=vPT74OhlEUQ,All,Takes place every Wednesday from 10am - 12am,07810 031 780 or 0208 247 6163,Refer to Lucia Espinello (via email/mob),lucia.espiniella@nhs.net/07817077122
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Monday am,020 7346 1134,children@refugeecouncil.org.uk,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Tuesday am,020 7346 1134,children@refugeecouncil.org.uk,
Refugee Council,South,Croydon,Science Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Tuesday pm,020 7346 1134,children@refugeecouncil.org.uk,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Wednesday pm,020 7346 1134,children@refugeecouncil.org.uk,
Refugee Council,South,Croydon,English Class,http://www.refugeecouncil.org.uk/london_destitution_services,Children,Thursday am,020 7346 1134,children@refugeecouncil.org.uk,
